                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2261,                0.86134,                 1.6526,                0.74991,                0.96896,                0.75583,                0.46813,                 1.2724,                0.70374,                 1.6496,               0.001056,               0.001056,               0.001056
                     53,                 1.2263,                0.85862,                 1.6779,                0.69002,                0.95562,                0.98278,                0.61608,                  1.226,                0.80306,                 1.6223,              0.0010549,              0.0010549,              0.0010549
                     54,                 1.2334,                0.86939,                 1.6978,                0.74553,                0.98941,                0.77612,                0.52289,                 1.1688,                0.61549,                 1.5668,              0.0010538,              0.0010538,              0.0010538
                     55,                 1.2059,                 0.8027,                 1.6531,                0.72267,                0.96036,                0.75043,                0.50829,                 1.1627,                0.58515,                 1.5554,              0.0010527,              0.0010527,              0.0010527
                     56,                 1.1991,                0.83649,                 1.6413,                 0.7175,                0.96988,                0.97916,                0.64038,                 1.2453,                0.76605,                 1.6482,              0.0010516,              0.0010516,              0.0010516
                     57,                 1.2091,                 0.8138,                  1.667,                0.72367,                0.73843,                0.74965,                0.48888,                 1.1948,                0.63965,                 1.5849,              0.0010505,              0.0010505,              0.0010505
                     58,                  1.228,                0.88115,                 1.6687,                0.74733,                0.98051,                0.77367,                0.51271,                 1.1795,                0.67369,                 1.5535,              0.0010494,              0.0010494,              0.0010494
                     59,                 1.1696,                0.81967,                 1.6152,                0.73346,                0.97011,                0.75331,                0.49202,                 1.1844,                0.72629,                 1.5893,              0.0010483,              0.0010483,              0.0010483
                     60,                 1.1838,                0.81131,                 1.6315,                 0.7475,                0.99419,                0.81786,                0.53875,                 1.1546,                0.57865,                  1.559,              0.0010472,              0.0010472,              0.0010472
                     61,                 1.1896,                0.78084,                 1.6134,                0.72056,                0.73674,                0.74897,                0.50563,                 1.1798,                0.60524,                  1.565,              0.0010461,              0.0010461,              0.0010461
                     62,                 1.1801,                0.83011,                 1.6188,                0.75011,                0.99348,                0.75413,                0.51988,                 1.1437,                0.58402,                 1.5447,               0.001045,               0.001045,               0.001045
                     63,                 1.2197,                0.85076,                 1.6478,                0.74889,                0.99445,                0.82155,                0.55634,                 1.1366,                0.58109,                 1.5385,              0.0010439,              0.0010439,              0.0010439
                     64,                 1.1829,                0.81654,                 1.6353,                0.72972,                0.74494,                0.73781,                0.50856,                 1.1125,                0.57692,                 1.4822,              0.0010428,              0.0010428,              0.0010428
                     65,                  1.159,                0.79086,                  1.609,                0.73451,                 0.9825,                0.78844,                0.51795,                 1.1801,                0.64522,                 1.5724,              0.0010417,              0.0010417,              0.0010417
                     66,                 1.1876,                0.79644,                 1.6047,                0.72847,                0.74108,                0.73723,                0.48647,                 1.2163,                0.61111,                 1.6096,              0.0010406,              0.0010406,              0.0010406
                     67,                 1.1933,                0.81959,                 1.6422,                0.74618,                0.99445,                0.75724,                0.51654,                 1.1275,                0.56358,                 1.4934,              0.0010395,              0.0010395,              0.0010395
                     68,                 1.1995,                0.81176,                 1.6335,                0.74851,                0.99554,                0.75794,                0.52244,                 1.1406,                0.57648,                 1.5117,              0.0010384,              0.0010384,              0.0010384
                     69,                 1.1648,                 0.7945,                 1.5978,                0.74869,                0.99253,                0.76738,                0.52447,                 1.1239,                0.57183,                 1.4978,              0.0010373,              0.0010373,              0.0010373
                     70,                 1.1286,                0.77238,                 1.5723,                0.72851,                0.73936,                0.74298,                 0.5182,                 1.1099,                0.57134,                 1.4807,              0.0010362,              0.0010362,              0.0010362
                     71,                 1.1476,                0.79144,                 1.5784,                0.74745,                0.97682,                0.97939,                0.68048,                 1.1078,                0.57968,                 1.4993,              0.0010351,              0.0010351,              0.0010351
                     72,                 1.1952,                0.80095,                  1.631,                 0.7489,                0.99087,                0.76088,                   0.52,                 1.1416,                0.57684,                 1.5238,               0.001034,               0.001034,               0.001034
                     73,                 1.1409,                0.75655,                 1.5789,                0.74577,                0.99145,                0.75943,                0.51175,                 1.1521,                0.58106,                 1.5349,              0.0010329,              0.0010329,              0.0010329
                     74,                 1.1532,                0.76404,                 1.5817,                 0.7504,                0.99406,                 0.7609,                0.53302,                 1.1056,                0.54206,                  1.474,              0.0010318,              0.0010318,              0.0010318
